,irreps_type,tensor_product_type,lmax,batch,normalization,Time,all GFLOPs,GB,TC GFLOPs/s,CC GFLOPs/s,all GFLOPs/s,GB/s
539,MIMO,CGTP-dense,8,10000,489,0.003795264,12.43832041323185,1.0936155319213867,151.61070830846626,155.75828960047107,307.36899790893733,264.7372640066073
540,SIMO,GTP-fourier,9,10000,1,0.023627199999999998,54.88855277001858,0.9200103282928467,4309.151855978163,218.4765115023632,4527.628367480526,406.23862434958113
541,MIMO,CGTP-dense,8,1,489,0.00097616,0.0019241925328969955,0.0027941465377807617,0.0,2.139491059862928,2.139491059862928,3.082600950130691
543,MIMO,CGTP-sparse,2,1000000,19,0.00920272,0.5997717380523682,4.650453448295593,0.0,83.3522573080948,83.3522573080948,591.1277591329377
545,MIMO,GTP-grid,8,1000000,33,0.050408576000000004,765.5056819636375,18.47883701324463,10672.731118316033,61.265839406112605,10733.996957722145,437.8813919016552
547,MIMO,CGTP-dense,7,1,344,0.0006554560000000001,0.0010966388508677483,0.0015206336975097656,0.0,1.9089548280086148,1.9089548280086148,2.5054013304872607
549,MIMO,GTP-fourier,4,100000,17,0.014586272,40.35927805304527,1.9365787506103516,5572.932840055611,300.58764048728005,5873.520480542891,460.0823447119287
554,SISO,GTP-fourier,3,100000,1,0.0061771840000000005,11.824316829442978,1.1047308444976807,2544.0496837690775,185.05456991468242,2729.10425368376,485.0196044447093
557,MIMO,GTP-fourier,7,100000,29,0.09298742400000001,221.53706488013268,5.544677138328552,6728.285809883805,317.91314265636316,7046.198952540168,454.5732250399384
558,MIMO,Matrix-TP,2,1000000,9,0.006456704,26.435375213623047,2.8874144554138184,1748.3469663085364,1289.4315251692517,3037.778491477788,480.8222761346656
560,SIMO,GTP-grid,8,10000,1,0.000774624,7.5227846801280975,0.29055893421173096,5088.610399365622,594.1536816076264,5682.764080973248,416.83380079836957
561,SIMO,CGTP-dense,3,10000,1,3.2e-05,0.03950059413909912,0.00522160530090332,210.8051278496866,612.5375989628976,823.3427268125843,170.57249822355982
562,SIMO,CGTP-sparse,10,10000,1,0.001325408,0.5415547639131546,0.03490018844604492,0.0,155.15783110598085,155.15783110598085,16.952752177722616
567,MIMO,CGTP-dense,3,1,44,3.4624e-05,1.1895783245563507e-05,7.843971252441406e-05,0.0,0.32921814065840066,0.32921814065840066,2.212480392376986
569,SIMO,GTP-grid,7,1000000,1,0.027934496,298.9947988986969,14.154895067214966,7586.898350579647,1060.1614578339345,8647.059808413582,534.2238849354655
571,SISO,CGTP-sparse,2,100000,1,7.3952e-05,0.027939677238464355,0.005251646041870117,0.0,175.00800034115275,175.00800034115275,33.367871755552834
572,MIMO,e3x-TP,6,1000,1,0.00028774400000000004,1.90391456335783,0.09147942066192627,2726.9711613535037,1021.9721638443394,3748.943325197843,313.9062023278334
